run_id,case_id,deployment_time_s,redeployment_time_s,validation_time_s,attack_duration_s,attack_to_alert_s,alert_to_memory_start_s,alert_to_memory_sealed_s,alert_to_case_sealed_s,alert_to_all_required_artifacts_sealed_s,pcap_size_gib,memory_size_gib,disk_size_gib,artifacts_preserved_count,acquisition_failures,required_artifacts_expected,required_artifacts_preserved,aggregate
run_01,case-f9b84046,not_applicable,not_applicable,missing_from_current_campaign,26.49,196.56,-146.76,210.37,1511.18,1511.18,2.779,3.998,20.0,88,0,3,3,
run_02,case-4bd7a2e5,not_applicable,not_applicable,missing_from_current_campaign,20.5,11.14,18.26,320.49,1352.98,1352.98,2.291,3.998,20.0,93,0,3,3,
run_03,case-d997e30f,not_applicable,not_applicable,missing_from_current_campaign,19.08,7.44,21.31,351.87,1357.7,1357.7,2.287,3.998,20.0,93,0,3,3,
run_04,case-e51b2792,not_applicable,not_applicable,missing_from_current_campaign,21.09,14.4,24.41,352.79,2034.19,2034.19,4.371,3.998,20.0,93,0,3,3,
run_05,case-7efda4ef,not_applicable,not_applicable,missing_from_current_campaign,21.92,11.17,19.59,342.41,1371.26,1371.26,2.286,3.998,20.0,93,0,3,3,
run_06,case-0f9a0a23,not_applicable,not_applicable,missing_from_current_campaign,19.88,11.43,17.77,333.57,1405.04,1405.04,2.287,3.998,20.0,93,0,3,3,
run_07,case-0baf5deb,not_applicable,not_applicable,missing_from_current_campaign,18.47,12.63,14.44,322.51,1170.06,1170.06,2.291,3.998,10.0,90,0,3,3,
run_08,case-1f159b69,not_applicable,not_applicable,missing_from_current_campaign,18.94,6.39,21.46,334.18,2381.9,2381.9,2.243,3.998,40.0,91,0,3,3,
run_09,case-7b45be16,not_applicable,not_applicable,missing_from_current_campaign,17.2,13.88,21.13,330.23,1679.26,1679.26,2.242,3.998,40.0,91,0,3,3,
run_10,case-11d0a562,not_applicable,not_applicable,missing_from_current_campaign,18.01,9.21,18.11,339.35,1882.45,1882.45,2.296,3.998,40.0,96,0,3,3,
run_11,case-dd4145db,not_applicable,not_applicable,missing_from_current_campaign,18.59,19.47,8.29,255.26,969.19,969.19,1.058,1.999,60.0,84,0,3,3,
run_12,case-d0d70395,not_applicable,not_applicable,missing_from_current_campaign,21.28,16.86,25.53,273.73,1017.06,1017.06,1.158,1.999,60.0,84,0,3,3,
run_13,case-957aa122,not_applicable,not_applicable,missing_from_current_campaign,20.34,21.32,10.25,746.13,2824.76,2824.76,5.301,5.998,60.0,107,0,3,3,
run_14,case-aea54afa,not_applicable,not_applicable,missing_from_current_campaign,18.28,9.94,17.19,391.0,2162.62,2162.62,4.488,5.998,60.0,92,0,3,3,
run_15,case-b5946a11,not_applicable,not_applicable,missing_from_current_campaign,21.1,13.92,34.17,591.12,3367.71,3367.71,7.515,7.998,70.0,102,0,3,3,
run_16,case-6fbc1dca,not_applicable,not_applicable,missing_from_current_campaign,17.16,8.19,25.83,854.56,3253.12,3253.12,6.544,7.998,70.0,117,0,3,3,
run_17,case-f4c0ebb8,not_applicable,not_applicable,missing_from_current_campaign,29.62,21.74,58.86,648.2,1647.46,1647.46,1.615,7.998,70.0,121,0,3,3,
run_18,case-b589e6ca,not_applicable,not_applicable,missing_from_current_campaign,17.85,12.87,34.1,517.92,1762.19,1762.19,2.222,7.998,70.0,121,0,3,3,
run_19,case-cf5b3c0f,not_applicable,not_applicable,missing_from_current_campaign,18.34,12.31,42.76,672.14,1221.45,1221.45,0.118,7.998,70.0,123,0,3,3,
run_20,case-9414ebb2,not_applicable,not_applicable,missing_from_current_campaign,24.97,12.16,64.86,527.6,1688.86,1688.86,1.473,7.998,70.0,131,0,3,3,
run_21,case-18995bf6,not_applicable,not_applicable,missing_from_current_campaign,18.69,12.05,39.65,621.55,1807.49,1807.49,2.165,7.998,70.0,136,0,3,3,
run_22,case-5a1166af,not_applicable,not_applicable,missing_from_current_campaign,18.47,11.84,39.46,611.17,1852.88,1852.88,2.254,7.998,70.0,141,0,3,3,
run_23,case-54fec75c,not_applicable,not_applicable,missing_from_current_campaign,19.97,14.01,43.88,615.55,1342.23,1342.23,0.747,7.998,70.0,149,0,3,3,
run_24,case-c3b21a31,not_applicable,not_applicable,missing_from_current_campaign,19.47,13.08,34.8,624.93,1814.47,1814.47,2.181,7.998,70.0,154,0,3,3,
run_25,case-cdd4f9fa,not_applicable,not_applicable,missing_from_current_campaign,17.04,11.09,47.72,703.87,1272.22,1272.22,0.127,7.998,70.0,159,0,3,3,
run_26,case-a7742447,not_applicable,not_applicable,missing_from_current_campaign,18.37,13.09,28.72,561.75,1757.98,1757.98,2.251,7.998,70.0,164,0,3,3,
run_27,case-a81b135c,not_applicable,not_applicable,missing_from_current_campaign,18.06,11.84,14.96,459.85,1642.26,1642.26,1.906,7.998,70.0,164,0,3,3,
run_28,case-a0c098fc,not_applicable,not_applicable,missing_from_current_campaign,18.19,12.18,13.99,546.45,1728.88,1728.88,2.237,7.998,70.0,169,0,3,3,
run_29,case-e4ee21c5,not_applicable,not_applicable,missing_from_current_campaign,17.31,12.43,14.09,466.04,1490.59,1490.59,1.595,7.998,70.0,169,0,3,3,
run_30,case-dbe63124,not_applicable,not_applicable,missing_from_current_campaign,24.85,18.83,14.4,636.73,1298.14,1298.14,0.308,7.998,70.0,171,0,3,3,
run_31,case-0376b413,not_applicable,not_applicable,missing_from_current_campaign,21.39,16.12,14.94,520.45,2049.57,2049.57,2.224,7.998,70.0,171,0,3,3,
run_32,case-6bed2618,not_applicable,not_applicable,missing_from_current_campaign,20.23,14.29,41.08,646.75,1858.74,1858.74,2.277,7.998,70.0,179,0,3,3,
run_33,case-55569084,not_applicable,not_applicable,missing_from_current_campaign,18.74,13.56,14.28,473.8,2077.74,2077.74,2.721,7.998,70.0,179,0,3,3,
run_34,case-b924680b,not_applicable,not_applicable,missing_from_current_campaign,18.53,13.62,13.35,579.79,1819.61,1819.61,2.245,7.998,70.0,181,0,3,3,
run_35,case-bc50bdc5,not_applicable,not_applicable,missing_from_current_campaign,20.05,13.1,15.5,579.93,1180.6,1180.6,0.119,7.998,70.0,186,0,3,3,
run_36,case-aec95891,not_applicable,not_applicable,missing_from_current_campaign,19.46,11.67,45.97,626.78,1860.69,1860.69,2.18,7.998,70.0,194,0,3,3,
run_37,case-fad5f3b1,not_applicable,not_applicable,missing_from_current_campaign,19.43,12.62,15.32,626.04,1578.11,1578.11,1.269,7.998,70.0,196,0,3,3,
run_38,case-4aca605e,not_applicable,not_applicable,missing_from_current_campaign,19.38,12.05,15.6,704.8,1320.62,1320.62,0.119,7.998,70.0,203,0,3,3,
run_39,case-97ba3a63,not_applicable,not_applicable,missing_from_current_campaign,21.35,14.0,20.01,598.28,1853.89,1853.89,2.225,7.998,70.0,209,0,3,3,
run_40,case-d998f2f3,not_applicable,not_applicable,missing_from_current_campaign,21.17,14.97,14.36,547.42,1573.48,1573.48,1.607,7.998,70.0,211,0,3,3,
run_41,case-cf84e58b,not_applicable,not_applicable,missing_from_current_campaign,19.63,13.54,14.51,582.35,1833.69,1833.69,2.28,7.998,70.0,219,0,3,3,
run_42,case-77c36013,not_applicable,not_applicable,missing_from_current_campaign,19.58,12.95,15.02,569.71,1617.16,1617.16,1.654,7.998,70.0,224,0,3,3,
