run_id,case_id,expected_edges,recovered_edges,degraded_edges,missing_edges,ambiguous_edges,cpr,recoverability_label,scientific_confidence,analysis_layers_expected,analysis_layers_completed,analysis_layers_partial,analysis_layers_useful,memory_analysis_status,aggregate
run_01,case-f9b84046,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_02,case-4bd7a2e5,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_03,case-d997e30f,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_04,case-e51b2792,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_05,case-7efda4ef,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_06,case-0f9a0a23,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_07,case-0baf5deb,8,4,2,2,0,0.5,partially_recoverable,limited,14,11,1,12,partial,
run_08,case-1f159b69,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_09,case-7b45be16,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_10,case-11d0a562,8,4,2,2,0,0.5,partially_recoverable,limited,14,12,0,12,completed,
run_11,case-dd4145db,8,3,1,0,4,0.375,weak_recoverability,ambiguous,14,10,1,11,partial,
run_12,case-d0d70395,8,3,1,0,4,0.375,weak_recoverability,ambiguous,14,10,1,11,partial,
run_13,case-957aa122,8,4,1,0,3,0.5,partially_recoverable,ambiguous,14,10,1,11,partial,
run_14,case-aea54afa,8,3,1,0,4,0.375,weak_recoverability,ambiguous,14,10,1,11,partial,
run_15,case-b5946a11,8,4,0,0,4,0.5,partially_recoverable,ambiguous,14,12,0,12,completed,
run_16,case-6fbc1dca,8,5,0,0,3,0.625,partially_recoverable,ambiguous,14,11,0,11,completed,
run_17,case-f4c0ebb8,8,5,2,0,1,0.625,partially_recoverable,limited,14,9,2,11,partial,
run_18,case-b589e6ca,8,5,2,0,1,0.625,partially_recoverable,limited,14,9,2,11,partial,
run_19,case-cf5b3c0f,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_20,case-9414ebb2,8,5,2,0,1,0.625,partially_recoverable,limited,14,11,1,12,completed,
run_21,case-18995bf6,8,5,2,0,1,0.625,partially_recoverable,limited,14,11,1,12,completed,
run_22,case-5a1166af,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_23,case-54fec75c,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_24,case-c3b21a31,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_25,case-cdd4f9fa,8,5,2,0,1,0.625,partially_recoverable,limited,14,11,1,12,completed,
run_26,case-a7742447,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_27,case-a81b135c,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_28,case-a0c098fc,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_29,case-e4ee21c5,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_30,case-dbe63124,8,4,3,0,1,0.5,partially_recoverable,limited,14,10,1,11,completed,
run_31,case-0376b413,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_32,case-6bed2618,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_33,case-55569084,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_34,case-b924680b,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_35,case-bc50bdc5,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_36,case-aec95891,8,5,2,0,1,0.625,partially_recoverable,limited,14,11,1,12,completed,
run_37,case-fad5f3b1,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
run_38,case-4aca605e,8,5,2,0,1,0.625,partially_recoverable,limited,14,10,1,11,completed,
AGGREGATE,N=38,"8.0 (min=8, max=8)","4.5 (min=3, max=5)","1.8 (min=0, max=3)","0.5 (min=0, max=2)","1.2 (min=0, max=4)",0.562 ± 0.081,"{'weak_recoverability', 'partially_recoverable'}","{'ambiguous', 'limited'}","14.0 (min=14, max=14)","10.6 (min=9, max=12)","0.8 (min=0, max=2)","11.4 (min=11, max=12)","{'completed', 'partial'}",
